name,lanes,road_capacity_from_conversion,highway,oneway,road_capacity
Calle Jaime Chiriboga,,1,residential,,0.444107209722
Rio Curaray,,1,residential,,0.102878034833
Topo,,1,unclassified,,0.113094671803
R. Jelil,,1,residential,,0.0738897335511
Calle Guarderas,,1,unclassified,,0.172299273873
N48a,,1,residential,,0.0179319118909
Edmundo Chiriboga,,1,residential,,0.887961933898
Fco. de Miranda,,1,residential,,0.519946557831
,,1,residential,,0.0403510671593
Tnte. Homero Salas,,1,residential,,0.459300374043
Solorzano,,1,unclassified,,0.304801973631
Fernando Davalos,,1,residential,,0.296962980901
Burbano,,1,unclassified,,0.293340276127
Manuel Valdivieso,,1,residential,no,0.201266513361
Agustin Zambrano,,1,residential,,0.269873056935
Tomas Chariove,,1,residential,,0.629139449389
Manuel Romo,,1,residential,,0.355351241088
Cristobal Sandoval,,1,residential,,0.633363035163
Avenida Florida,,2,tertiary,yes,1.50895582035
Aucas,,1,residential,,0.328262983701
Zaparos,,1,residential,,0.125914860397
Yumbos,,1,residential,,0.441655387898
Pedro Traversari,,1,residential,,0.0804571714009
Záparos,,1,residential,,0.2930322727
Rio Blanco,,1,residential,,0.125349136258
Miguel Burbano,,1,residential,,0.127680463225
Marco Aguirre,,1,residential,,0.418496687834
Antonio Mesones,,1,residential,,0.128479570687
Jorge Páez,,1,unclassified,,0.298012465027
Calle Cevallos,,1,unclassified,,0.26943125813
,,1,residential,,0.0606874104083
La Esperanza,,1,residential,,0.0795987019833
C. Guarderas,,1,residential,,0.229986324577
G. Salazar,,1,residential,,0.216215562527
9 de Octubre,,1,residential,yes,0.265630247812
Palora,,1,unclassified,,0.118759762162
Hungria,,1,residential,yes,0.131705965878
,,1,residential,,0.0509534821729
M. Lasso,,1,residential,yes,0.173947536756
Rumipamba,,1,residential,yes,0.236955275694
Las Guayanas,,1,residential,no,0.18931714704
Inglaterra,,1,residential,no,0.0356875986319
Grecia,,1,residential,,0.336811003908
Rumipamba,,1,residential,,0.161931275688
La Granja,,1,residential,yes,0.111114888431
Republica,,3,secondary,yes,0.574778246979
Orellana,,3,primary,yes,0.629589561173
,,3,primary,yes,0.0678861027558
10 de Agosto,,3,primary,yes,1.67921407223
,,3,primary,yes,0.448267857126
Orellana,,3,primary,yes,1.74513865899
,,3,secondary,yes,0.31040927396
,,3,secondary,yes,0.0823173802435
C. Cabezas,,1,residential,,0.151366912456
Fernando Davalos,,1,unclassified,yes,0.0643784066653
Altar,,1,residential,,0.151352298525
Avenida Amazonas,,3,primary,yes,0.598034830561
J. de Dios Haro,,1,unclassified,,0.173091343433
Yacumbi,,1,residential,,0.217129593898
Oe1a,,1,residential,,0.159293119099
Oe1,,1,residential,,0.048973511014
Bracamoros,,1,unclassified,,0.369365790389
Oyacachi,,1,residential,,0.117849517477
Nueva Orleans,,1,residential,yes,0.109952203107
Jose Vinueza,,1,residential,,0.144703393287
,,1,residential,,0.139776548733
Oe4a,,1,residential,,0.0653249183864
,,1,residential,,0.128654989148
,,1,residential,,0.0967537765717
Oe3i,,1,residential,,0.153329518102
Elia Liut,,1,residential,no,0.244824040181
El Cóndor,,1,residential,,0.16277550983
Edmundo Muñoz (Pasaje),,1,residential,no,0.0505664756617
Calle Telegrafo,,1,unclassified,,0.0823020896255
Bermejo,,1,unclassified,,0.23734248942
San Antonio,,1,unclassified,,0.152422923542
Indanaza,,1,unclassified,,0.127719508541
Endara,,1,residential,,0.109766735459
9 de Octubre,,1,residential,yes,0.294033811511
Berlin,,1,residential,yes,0.154966860699
S. Duarte,,1,residential,,0.0863734979408
,,1,residential,yes,0.118243287646
Los Angeles,,1,residential,,0.0877932570106
Illingworth,,1,residential,,0.0895971381248
Orellana,,3,primary,yes,0.173725112106
,,1,residential,yes,0.0253800823496
Alemania,,1,residential,no,0.246235487738
M. Acosta,,1,residential,yes,0.121419128371
9 de Octubre,,1,residential,yes,0.426298466002
Vancouver,,1,residential,,0.288584945
Cuero y Caicedo,,1,residential,no,0.11375124175
Italia,,1,residential,,0.125775375828
Rumania,,1,residential,,0.133901896803
Hungria,,1,residential,yes,0.325071575413
Polonia,,1,residential,,0.328612299976
Jama,,1,residential,,0.0606410951362
Avenida Florida,,2,tertiary_link,yes,0.454856051808
Avenida Florida,,2,tertiary_link,yes,0.361731146737
,,1,residential,,0.0782753927643
Imbayas,,1,residential,,0.172043651038
Exit,,1,unclassified,,0.03573527285
Jordan,,1,residential,,0.150108244595
Pedro Alarcon,,1,unclassified,,0.142963734238
,,1,residential,,0.0977812739688
Pumara,,1,residential,,0.125428274016
,,1,residential,,0.150086168157
,,3,secondary_link,yes,0.455027513447
Mariscal Sucre,3,4,trunk,yes,0.221652144071
Ave. Mariana de Jesús,,3,secondary_link,yes,0.57687438135
,,1,residential,,0.129813097262
,,3,secondary_link,yes,0.357754071303
Antonio Sanchez,,1,residential,,0.132163343353
N36 Alonso Marin,,1,residential,,0.282532798308
Juan Diaz,,1,unclassified,,0.486445666388
Psj. Juan Villalengua,,1,unclassified,,0.0684225081597
Antonio Sanchez,,1,residential,,0.301631125073
,,1,residential,,0.197323646433
Hernan Vasquez,,1,residential,,0.324049077619
,,4,trunk_link,yes,0.569925201862
Armando Pesantes Garcia,,1,residential,,0.218954783815
Calle Garpar Escalona,,1,residential,,0.331703759035
Juan Villalengua,,1,residential,-1,0.379181285854
Francisco Cruz Miranda,,1,residential,,0.58630515155
Jose Herboso (N53),,1,residential,yes,0.885078098631
Pedro Leon,,1,unclassified,,0.154496373563
La Paz,,1,residential,,0.223069295752
Eustaquio Bernal,,1,residential,,0.0184591689986
,,1,residential,,0.149269446353
José Leal,,1,residential,,0.166491544621
Eustaquio Bernal,,1,residential,,0.17419379731
Chiriboga Jaime,,1,residential,,0.19077192092
,,1,service,,0.0994171389698
Isla Espaniola,,1,residential,,0.167300193724
Jorge Drom,,1,residential,,0.381492588747
Isla Floreana,,1,residential,,0.310160100994
Jose Bolaños,,1,residential,,0.0868442383414
Guepi,,1,residential,,0.448094658958
,,1,residential,,0.0670425634132
Isla Isabela,,1,residential,yes,1.13343750455
Isla Genovesa,,1,residential,yes,0.579707228346
Isla Fernandina,,1,residential,yes,0.578077826308
Isla Baltra,,1,residential,,0.128368461241
,,2,tertiary,,0.0191342540677
Union Nacional de Periodistas,,1,residential,yes,0.189015885999
Iñaquito,,3,secondary,yes,4.21631463014
Juan Pablo Sanz,,1,residential,,0.316839315065
Nuñez de Vela,,3,secondary,yes,2.2332831251
Juan Gonzales,,1,residential,no,0.576156769312
Corea,,1,residential,no,0.294271960088
Iñaquito,,1,residential,yes,0.195779453223
Japon,,1,residential,-1,0.344476866569
Guayas,,1,residential,,0.13697843031
,,1,service,,0.126717772767
,,4,trunk,yes,0.272768049775
Mariscal Sucre,,4,trunk,yes,9.58693042149
,3,4,trunk,yes,0.200969610439
Mariscal Sucre,3,4,trunk,yes,11.6593521805
,,4,trunk_link,yes,0.132240063149
,,4,trunk_link,yes,0.422293304645
,,4,trunk_link,yes,0.124287164991
,,4,trunk_link,yes,0.621188665387
,,4,trunk_link,yes,0.708711034416
,,1,residential,yes,0.0487783212211
Munecas,,1,residential,,0.104277324586
Otero,,1,residential,,0.116762936661
Cofro,,1,residential,,0.101295328469
F. Chira,,1,residential,,0.102886818042
Ramiro Barba,,1,unclassified,,0.215263489151
Pasaje C,,1,residential,,0.0676869837708
Pasaje D,,1,unclassified,,0.137932084294
Pasaje E,,1,residential,,0.166154215254
Pasaje F,,1,residential,no,0.153989764025
Hidalgo Pinto,,1,residential,-1,0.0521704921678
Oe6,,1,unclassified,,0.180723079842
Los Cabildos,,1,residential,no,0.0523662213933
E. Iturralde,,2,tertiary,yes,0.288071668751
Juan Galarza,,1,residential,no,0.278888533213
El Cóndor,,1,residential,yes,0.262165150348
Edmundo Carvajal,,3,secondary,yes,0.385337718434
El Universo,,1,residential,,0.416654318281
Porvenur,,1,residential,,0.148023095902
Roma,,1,residential,,0.125012741539
Últimas Noticias,,1,residential,no,0.288971588731
