name,lanes,road_capacity_from_conversion,highway,oneway,distance,road_capacity
Vassar Street,2,3,secondary,,0.493241949051,2.95945169431
Massachusetts Avenue,4,3,primary,,0.00725715135122,0.0435429081073
Harvard Bridge,4,3,primary,,0.61378859666,3.68273157996
Binney Street,2,3,secondary,yes,0.799858924475,2.39957677343
,1,4,trunk_link,yes,0.0633768609275,0.25350744371
Memorial Drive,2,4,trunk,yes,0.122965153142,0.49186061257
Memorial Drive,2,4,trunk,yes,0.183711208079,0.734844832315
Memorial Drive,2,4,trunk,yes,0.182721776723,0.730887106894
Massachusetts Avenue,4,3,primary,,0.464656113598,2.78793668159
,2,1,service,,0.0361503682743,0.0723007365486
Waverly Street,1,3,secondary,yes,0.470845280876,1.41253584263
Back Street,1,1,residential,yes,0.184896208675,0.184896208675
,,1,service,,0.0090436141596,0.0180872283192
,,1,service,,0.0445341072152,0.0890682144304
Pilgrim Street,,1,residential,no,0.0679911747122,0.135982349424
,2,1,service,yes,0.0359604738844,0.0359604738844
,1,3,primary_link,yes,0.131091973532,0.393275920595
Norfolk Street,2,1,residential,yes,0.118090797895,0.118090797895
,,1,service,,0.19184132839,0.383682656779
,1,4,trunk_link,yes,0.153260268186,0.613041072746
,,1,service,,0.0290599848532,0.0581199697063
,,1,service,,0.116700352085,0.233400704171
,1,3,primary_link,yes,0.0586288873405,0.175886662022
,1,3,primary_link,yes,0.179162925905,0.537488777714
Carlton Street,1,3,primary,yes,0.069922192996,0.209766578988
,,1,service,,0.0682874681927,0.136574936385
Norfolk Street,2,1,residential,yes,0.404527296083,0.404527296083
,,1,service,,0.0190525247328,0.0381050494656
,,1,service,,0.0457173248903,0.0914346497807
Brookline Place,,1,residential,yes,0.220252310274,0.220252310274
,,1,service,,0.0529665936066,0.105933187213
Storrow Drive,2,4,trunk,yes,1.17019115627,4.68076462509
Land Boulevard,2,4,trunk,yes,0.0547392998961,0.218957199584
Edwin H. Land Boulevard,2,4,trunk,yes,0.0761223123243,0.304489249297
Front Street,2,1,residential,yes,0.0710687561183,0.0710687561183
,,1,service,,0.32990032733,0.659800654659
Main Street,1,3,secondary,yes,0.143831298067,0.4314938942
Allston Street,2,1,residential,no,0.0667710516822,0.133542103364
,,1,service,,0.0131479735355,0.026295947071
,,1,service,,0.101480210763,0.202960421526
,,1,service,,0.0816225918892,0.163245183778
Berkeley Street,4,3,secondary,yes,0.797317175944,2.39195152783
Broadway,2,3,secondary,yes,0.623119036615,1.86935710984
,,1,service,,0.175496279532,0.350992559065
Land Boulevard,2,4,trunk,yes,0.0536314947837,0.214525979135
Ames Street,2,2,tertiary,no,0.287085532728,1.14834213091
,,1,service,,0.124622165907,0.249244331815
Saint Mary's Street,2,2,tertiary,,0.0233370558281,0.0933482233122
West Kendall Street,,1,unclassified,,0.0754834257603,0.150966851521
Carlton Street,2,3,primary,yes,0.0602752535033,0.18082576051
,,1,service,,0.059901321328,0.119802642656
,1,4,trunk_link,yes,0.147016575226,0.588066300905
,,1,service,,0.0792345761501,0.1584691523
,,1,service,,0.063381698051,0.126763396102
Cummington Mall,2,1,service,yes,0.0537610407453,0.0537610407453
Saint Mary's Street,2,2,tertiary,yes,0.0326157750675,0.0652315501351
Back Street,1,1,residential,,0.603738070885,1.20747614177
,,1,service,,0.0240061079294,0.0480122158588
,,1,service,,0.049790488553,0.0995809771061
,1,4,trunk_link,yes,0.0419936251943,0.167974500777
Clark Street,2,1,residential,,0.225588845026,0.451177690053
,,1,service,,0.155745905634,0.311491811268
,,1,service,,0.0442762800476,0.0885525600952
,,1,service,,0.0647291556862,0.129458311372
Norfolk Street,2,1,residential,yes,0.303123386919,0.303123386919
,1,4,trunk_link,yes,0.0422332429414,0.168932971766
,1,4,trunk_link,yes,0.152000680717,0.60800272287
Embankment Road,2,4,trunk,yes,0.190574750252,0.762299001007
,,1,service,yes,0.0690271204758,0.0690271204758
,,1,service,yes,0.0583591793136,0.0583591793136
Pilgrim Street,2,1,residential,,0.0592818285982,0.118563657196
Pilgrim Street,,1,residential,no,0.0409762289445,0.0819524578891
Albany Street,2,3,secondary,,0.717380222571,4.30428133543
,,1,service,yes,0.0722435738842,0.0722435738842
,2,4,trunk_link,yes,0.161258000281,0.645032001126
Massachusetts Avenue,4,3,primary,,0.0195262569106,0.117157541464
Land Boulevard,2,4,trunk,yes,0.181724043448,0.726896173794
,,1,service,,0.0379673472887,0.0759346945773
Gloucester Street,2,1,residential,yes,0.421769451146,0.421769451146
Fairfield Street,2,1,residential,,0.0606092358913,0.121218471783
