name,lanes,road_capacity_from_conversion,highway,oneway
Avenida de Valladolid,2,3,secondary,yes
Calle Marqués de Villamagna,,1,residential,yes
,,1,residential,yes
,,3,secondary,yes
,,1,residential,yes
,,1,unclassified,yes
,,1,unclassified,yes
Calle Gurtubay,,1,residential,yes
,,3,secondary,yes
Paseo de la Ermita del Santo,,3,secondary,yes
Paseo de San Illán,,1,residential,yes
Travesía de Iván de Vargas,,1,residential,
Calle de Aguirre,,1,residential,
Paseo de San Illán,,1,residential,yes
Calle de Antonio Acuña,,1,residential,yes
Calle de Antonio Acuña,,1,residential,yes
Carretera de Castilla,2,4,trunk_link,yes
Carretera de Castilla,3,4,trunk,yes
Carretera de Castilla,1,4,trunk_link,yes
,1,4,motorway_link,yes
,2,3,secondary,yes
,2,4,motorway_link,yes
Calle del Arcipreste de Hita,2,1,residential,no
Calle de Meléndez Valdés,4,1,residential,yes
Calle de Fernando el Católico,1,1,residential,yes
,,1,unclassified,
,,1,unclassified,yes
Calle de Zaida,,1,residential,
Calle Profesor Martín Almagro Bash,,1,unclassified,yes
Calle San Epifanio,,3,secondary,
Calle de San Ignacio de Loyola,,1,residential,yes
Calle Santa María la Real de Nieva,,1,unclassified,
Calle de Bailén,2,3,primary,yes
Calle de San Roque,,1,living_street,yes
Paseo del Doctor Vallejo Nájera,,1,residential,yes
Calle de Caramuel,,2,tertiary,yes
Avenida del Arco de la Victoria,,1,residential,yes
Calle de Aniceto Marinas,2,1,residential,no
Calle de la Esgrima,,1,residential,yes
Calle de la Virgen de los Peligros,,1,residential,yes
Travesía de los Cabestreros,,1,residential,yes
Travesia de la Comadre,,1,residential,yes
Paseo de la Virgen del Puerto,3,3,secondary,yes
Calle Yeseros,,1,residential,-1
Calle Caños Viejos,,1,residential,
Calle de Isabel La Católica,,1,residential,yes
Calle del Maestro Sorozábal,,1,residential,yes
Calle Carvajales,,1,residential,
Plaza de San Ginés,,1,pedestrian,
Calle de la Farmacia,,1,residential,yes
Paseo de la Virgen del Puerto,,3,secondary,yes
Avenida de Séneca,,3,secondary,
Calle de Pérez Galdós,,1,pedestrian,yes
Calle del Correo,,1,living_street,yes
,,1,service,yes
Calle de las Tres Cruces,,1,residential,yes
Calle de Daoíz,,1,residential,
Calle de Nuñez de Arce,,1,residential,yes
Calle de Mózart,,1,residential,yes
Calle de San Carlos,,1,residential,yes
Calle de Luis Vélez de Guevara,,1,residential,yes
Calle de Relatores,,1,residential,yes
Calle de Doctor Cortezo,,1,residential,yes
Calle del Duque de Fernán Núñez,2,1,residential,yes
Calle de la Sal,,1,pedestrian,
Calle de San Lorenzo,,1,residential,yes
Calle de la Beneficencia,,1,residential,yes
Calle Conde de Miranda,,1,pedestrian,
Calle de Monte Esquinza,,1,residential,yes
Calle de Quevedo,,1,living_street,yes
Calle de Orfila,,1,residential,yes
Calle Doctor Fourquet,,1,residential,yes
Calle del Oso,,1,residential,yes
Calle de los Abades,,1,residential,yes
Calle Argumosa,,1,residential,yes
Calle de Regueros,,1,residential,yes
Calle de la Encarnación,,1,residential,yes
Glorieta de Bilbao,,1,residential,yes
Pasaje de la Caja de Ahorros,,1,residential,
Calle Luisa Fernanda,1,1,residential,yes
Calle de Santocildes,,1,residential,
Calle Ariza,,1,unclassified,
Plaza de Cristino Martos,,1,residential,yes
Calle de los Cañizares,,1,residential,yes
Calle de la Cava Alta,,1,residential,yes
,,1,living_street,yes
Travesía de la Florida,,1,residential,yes
Calle de Evaristo San Miguel,,1,residential,yes
Calle de Muñoz Torrero,,1,residential,
Calle de San Onofre,,1,pedestrian,yes
Calle de Mózart,2,1,residential,yes
Calle del Rey Francisco,,1,residential,yes
Calle de Silva,,1,living_street,yes
Calle de Quintana,,1,residential,yes
Calle del Buen Suceso,,1,residential,yes
Calle de Ferraz,3,3,primary,yes
Calle de Ferraz,3,3,primary,yes
Calle del Marqués de Urquijo,2,3,secondary,yes
Plaza de España,,1,residential,yes
Calle de Ventura Rodríguez,,1,residential,yes
Calle de Ferraz,3,3,secondary,yes
Calle de Francisco Lozano,,1,residential,yes
Calle de Tutor,,1,residential,yes
,,1,service,
Calle del Alcaudón,,1,residential,
Calle Almendralejo,,1,unclassified,
Ronda de Segovia,,3,secondary,yes
Calle del Labrador,,1,residential,yes
Calle Soldado José María Rey,,1,residential,
Calle Juan José Bautista,,1,unclassified,
Calle de José Montalvo,,1,residential,
,,1,unclassified,yes
Avenida de Ángel Sanz Briz,,1,residential,no
,,1,unclassified,
Plaza Almunia,,1,unclassified,
Calle Paradinas,,1,residential,yes
Calle Sangarcía,,1,residential,yes
Calle Bercial,,1,residential,yes
Calle Etreros,,1,residential,yes
Calle Alejandro Dumas,,3,primary,yes
Paseo de los Melancólicos,,3,secondary,yes
Paseo de los Melancólicos,2,1,residential,yes
Calle de Gil Imón,,1,residential,yes
Travesía de Gil Imón,,1,residential,
Calle de Calderón de la Barca,,1,residential,yes
Calle Ventosa,,1,unclassified,
Cuesta de las Descargas,,1,residential,
Calle San Bernabé,,1,unclassified,
Calle de San Marcos,,1,residential,yes
Calle San Buenaventura,,1,residential,yes
Calle de San Isidro Labrador,,1,residential,yes
Carrera de San Francisco,,1,residential,
Plaza de San Francisco,,3,primary,yes
Paseo de Camoens,2,3,secondary,yes
Calle de Francisco y Jacinto Alcántara,2,1,unclassified,no
,,1,service,
,,1,service,
Paseo de Camoens,2,3,secondary,yes
Calle Don Pedro,,1,residential,-1
Calle de las Aguas,,1,residential,-1
Calle de la Cebada,,1,residential,-1
Calle de las Aguas,,1,residential,yes
Calle Mediodía Grande,,1,residential,-1
Calle Humilladero,,1,residential,yes
Plaza del Humilladero,,1,residential,yes
Calle Irlandeses,,1,residential,
Calle de San Cosme y San Damián,,1,residential,yes
Calle de Salitre,,1,residential,yes
Calle Caravaca,,1,residential,yes
Calle de Sombrerete,,1,residential,yes
Calle de San Jose,,1,residential,yes
Calle de Arlabán,,1,residential,yes
Plaza de Cánovas del Castillo,5,1,residential,yes
Calle de Méndez Núñez,,1,residential,yes
Calle de Felipe IV,,1,residential,yes
Calle de Antonio Maura,3,1,residential,yes
Calle Alberto Bosch,,1,residential,yes
Calle de los Cabestreros,,1,residential,yes
Calle de Valenzuela,,1,residential,yes
Calle Moreto,,1,residential,yes
Calle Moreto,,1,residential,yes
Calle Casado de Alisal,,1,residential,yes
Calle del Pozo,,1,living_street,yes
