name,lanes,road_capacity_from_conversion,highway,oneway
Kampong Bahru Road,,3,secondary,
Jalan Bukit Merah,,3,primary,yes
Adam Road,,4,trunk,yes
Lornie Road,3,4,trunk,yes
Holland Road,,3,primary,yes
Holland Road,,3,primary,yes
Holland Road,,3,primary,yes
Holland Road,,3,primary,yes
,,3,primary,yes
Upper East Coast Road,,3,secondary,
,,3,primary,yes
Serangoon North Avenue 5,,2,tertiary,
,,2,tertiary,
Buangkok Link,,1,residential,yes
Hougang Street 91,,1,residential,
Tiong Bahru Road,,3,primary,yes
Zion Road,,3,primary,yes
Jalan Bukit Merah,,3,primary,yes
Jalan Bukit Merah,,3,primary,yes
Lower Delta Road,,3,primary_link,yes
Lower Delta Road,,3,primary_link,yes
Laguna Flyover,,3,primary,yes
Upper Serangoon Road,,3,primary,yes
Bedok North Street 3,,1,residential,
Bedok North Street 1,,2,tertiary,
Bedok North Avenue 2,,1,residential,
Bedok North Avenue 3,,3,secondary,
Bedok North Road,,3,primary,yes
Bencoolen Street,,3,secondary,yes
,,3,primary,yes
,,3,primary,yes
,,3,primary_link,yes
Marine Parade Road,,3,secondary,yes
,,3,primary_link,yes
,,4,motorway_link,yes
Ang Mo Kio Street 24,,1,residential,
Laguna Flyover,,4,motorway_link,yes
,,3,primary_link,
Bedok,,4,motorway_link,yes
,,3,primary_link,
,,3,primary,yes
North Buona Vista Road,,3,primary,yes
Holland Road,,3,primary,yes
,1,4,trunk_link,yes
Farrer Road,3,4,trunk,yes
Holland Road,,3,primary,yes
,,3,primary,yes
,3,4,trunk_link,yes
,2,4,trunk_link,yes
Holland Road,,3,primary,yes
Holland Road,,3,primary,yes
Holland Road,,3,primary,yes
Holland Road,,3,primary,yes
,1,4,trunk_link,yes
,1,4,trunk_link,yes
Farrer Road,3,4,trunk,yes
Farrer Road,4,4,trunk,yes
Farrer Road,,4,trunk,yes
T1 Departure Cresent,,1,service,yes
,,1,service,yes
Sin Ming Drive,,1,unclassified,
Sin Ming Drive,,1,residential,
Sin Ming Road,,2,tertiary,
Sin Ming Road,,2,tertiary,
Sin Ming Road,,2,tertiary,yes
Jalan Todak,,2,tertiary,yes
Marine Parade Road,,3,secondary,yes
Marine Parade Road,,3,secondary,yes
Ang Mo Kio Avenue 2,,3,secondary,
Ang Mo Kio Street 11,,1,residential,
Braddell Road,,4,trunk_link,yes
Thomson Road,,3,primary,yes
Lower Delta Road,,3,primary,yes
,,4,trunk_link,yes
Thomson Road,,3,primary,yes
Upper Thomson Road,,1,residential,
,,3,primary_link,yes
,,3,primary_link,yes
,,3,primary_link,yes
Bishan Street 21,,2,tertiary,
,,3,primary_link,yes
,,3,primary_link,yes
,,3,primary_link,yes
,,3,primary_link,yes
Battery Road,,2,tertiary,yes
Bishan Street 11,,2,tertiary,yes
,,1,service,yes
Canning Rise,,2,tertiary,yes
Killiney Road,,1,unclassified,yes
Mountbatten Road,,3,primary,
Mounbatten Road,,3,primary,yes
East Coast Road,,3,secondary,yes
Still Road South,,3,primary,yes
Still Road South,,3,primary,yes
Marine Parade Road,,3,secondary,yes
Marina Parade Circus,,3,secondary,yes
Amber Road,,3,secondary,
Toa Payoh North Flyover,,4,trunk_link,yes
Kim Seng Road,,3,primary,yes
Marine Parade Road,,3,secondary,yes
Bishan Road,,3,primary,yes
Ang Mo Kio Avenue 6,,3,primary,yes
,,3,primary_link,yes
,,3,primary_link,yes
Ang Mo Kio Avenue 10,,3,secondary,
Ang Mo Kio Street 41,,1,residential,
,,3,primary_link,
Ang Mo Kio Street 42,,1,residential,
,,3,primary_link,
Ang Mo Kio Street 43,,1,residential,
Ang Mo Kio Street 31,,1,residential,
East Coast Road,,3,secondary,
Orchard Turn,,1,residential,
Orchard Turn,,3,secondary,yes
Bishan Road,,3,primary,yes
,,3,primary_link,yes
,,3,primary_link,yes
,,1,service,yes
,,1,service,yes
Ang Mo Kio Avenue 5,,3,primary,yes
,,3,primary_link,
Ang Mo Kio Avenue 10,,3,secondary,
,,1,service,yes
Sims Way,,3,primary,yes
Sims Way,,3,primary,yes
Sims Way,,4,motorway_link,yes
Still Road,,3,primary,yes
Still Road,,3,primary,yes
Sembawang Hills Drive,,1,residential,
,,3,primary_link,
,,3,primary_link,yes
Ang Mo Kio Street 22,,1,residential,
Ang Mo Kio Street 23,,1,residential,
Marine Parade Road,,3,secondary,yes
Mountbatten Road,,3,primary,yes
Ubi Avenue 1,,3,secondary,
Tampines Avenue 4,,3,secondary,
Bukit Batok West Avenue 5,,2,tertiary,
Bukit Batok West Avenue 7,,2,tertiary,
Bukit Batok West Avenue 4,,2,tertiary,
Bukit Batok Street 32,,1,residential,
Bukit Batok Street 33,,1,residential,
Bukit Batok Street 31,,1,residential,
Bukit Batok Street 34,,1,residential,
Ang  Mo Kio Avenue 1 EXIT,,4,motorway_link,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
Ang  Mo Kio Ave 1 EXIT,,4,motorway_link,yes
Boundary Close,,1,unclassified,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
,,4,motorway_link,
Bedok North Avenue 1,,3,secondary,
,,3,primary,yes
,,3,primary,yes
Bedok South Road,,3,secondary,no
Bedok South Avenue 3,,3,secondary,
Bedok South Road,,3,secondary,
Bedok South Avenue 3,,3,secondary,
,,3,primary_link,yes
Bedok South Avenue 2,,1,residential,
Bedok North Road,,3,primary,yes
Choa Chu Kang Avenue 4,,1,residential,
Choa Chu Kang Avenue 2,,1,residential,
,,1,residential,
,,1,residential,
Hong San Walk,,1,residential,no
Hong San Walk,,1,residential,no
